"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.78184573743111,0.688,0.048,0,"10","RP11-125B21.2"
0,3.76489477840058,0.271,0.012,0,"10","FBN3"
0,5.62641510610658,0.293,0.006,0,"11","CLDN10-AS1"
0,5.29173371925561,0.672,0.029,0,"11","GAL3ST1"
0,5.26549227366408,0.544,0.065,0,"11","MPZ"
0,5.04846473004092,0.601,0.023,0,"11","GRIA2"
0,5.01757850142926,0.392,0.012,0,"11","ANO3"
0,5.00017948965615,0.388,0.013,0,"11","KLK6"
0,4.92935112346126,0.684,0.037,0,"11","ACPP"
0,4.87075628642295,0.704,0.043,0,"11","SHH"
0,4.75438554636196,0.929,0.123,0,"11","LPL"
0,4.70108022271482,0.255,0.012,0,"11","RP11-77K12.4"
0,4.66927994158881,0.971,0.374,0,"11","SERPINE2"
0,4.66475853766295,0.398,0.015,0,"11","RP11-267C16.1"
0,4.53859636325817,0.261,0.013,0,"11","GLDC"
0,4.52787495267567,0.979,0.151,0,"11","CAPS"
0,4.49652078675339,0.375,0.028,0,"11","NKAIN2"
0,4.49128217881308,0.273,0.014,0,"11","CLDN19"
0,4.47319618616911,0.554,0.026,0,"11","DGUOK-AS1"
0,4.38726223405196,0.256,0.011,0,"11","GPR37L1"
0,4.33655071231665,0.568,0.037,0,"11","PLLP"
0,4.33257196295167,0.751,0.048,0,"11","TMEM132B"
0,4.31400859430677,0.701,0.049,0,"11","STON2"
0,4.22974545034165,0.944,0.115,0,"11","GAP43"
0,4.1880475270421,0.998,0.238,0,"11","S100B"
0,4.18598108332088,0.704,0.043,0,"11","DHH"
0,4.18206934387366,0.444,0.045,0,"11","NDST3"
0,4.11221437055497,0.634,0.034,0,"11","EXTL1"
0,4.10076497679114,0.815,0.068,0,"11","KLHDC8A"
0,4.09697338748209,0.778,0.081,0,"11","GRIK2"
0,4.09468664758963,0.866,0.123,0,"11","TRPM3"
0,4.05210271386884,0.515,0.031,0,"11","RXRG"
0,5.92020130183985,0.57,0.012,0,"12","GFRA3"
0,5.75500256742781,0.348,0.005,0,"12","GJB6"
0,5.49566167492365,0.32,0.008,0,"12","MYOT"
0,5.27242584571849,0.312,0.006,0,"12","PCSK2"
0,4.81785563142706,0.801,0.048,0,"12","XKR4"
0,4.79474780957937,0.78,0.09,0,"12","NOV"
0,4.7723813142216,0.426,0.013,0,"12","RP11-176N18.2"
0,4.53004998753675,0.259,0.007,0,"12","GPR17"
0,4.52831441690851,0.581,0.024,0,"12","ABCB5"
0,4.52723785198334,0.993,0.21,0,"12","CRYAB"
0,4.46163690882621,0.287,0.013,0,"12","BTC"
0,4.41314859525007,0.776,0.101,0,"12","SEMA3B"
0,4.36272429846876,0.676,0.043,0,"12","RSPO3"
0,4.29961153964714,0.279,0.012,0,"12","RP11-15J10.8"
0,4.20689947232889,0.278,0.012,0,"12","SLITRK2"
0,4.19087950577648,0.293,0.018,0,"12","DCSTAMP"
0,4.19019345425482,0.318,0.017,0,"12","PTPRQ"
0,4.13322863728128,0.627,0.046,0,"12","KCNS3"
0,4.05900974380383,0.287,0.01,0,"12","GALR1"
0,4.01015251031824,0.796,0.099,0,"12","DIRAS3"
0,3.99359071663209,0.653,0.032,0,"12","INSC"
0,3.96098775482483,0.559,0.06,0,"12","GJB2"
0,3.95058357632537,0.88,0.079,0,"12","FOXD3"
0,3.87701281120254,0.981,0.168,0,"12","NRXN1"
0,3.83808166316999,0.34,0.02,0,"12","RP11-599J14.2"
0,3.83020779722473,0.618,0.041,0,"12","LGI1"
0,3.82714214787042,0.997,0.204,0,"12","GPM6B"
0,3.79202878475451,0.639,0.067,0,"12","CADM2"
0,3.78331441939308,0.729,0.051,0,"12","ERBB3"
0,3.7669314852341,0.457,0.031,0,"12","FAM181B"
4.86016775020535e-204,3.71441913158961,0.412,0.089,1.54363787914272e-199,"13","TREM2"
5.50788107799103e-78,3.67618065691495,0.415,0.189,1.74935810918073e-73,"13","SPP1"
1.72901100807381e-104,3.64634933631608,0.326,0.098,5.49151186274322e-100,"13","HLA-DRB6"
0,3.60761991370954,0.904,0.183,0,"13","C1QB"
2.88270552030349e-43,3.5717548953852,0.373,0.232,9.15576100303591e-39,"13","FTLP3"
0,3.56573390788008,0.91,0.168,0,"13","C1QC"
0,3.50489330693735,0.921,0.202,0,"13","C1QA"
1.20616312084936e-238,3.50278218646339,0.565,0.155,3.83089468812966e-234,"13","APOC1"
2.16236313628992e-188,3.44220556059348,0.401,0.089,6.86788155717041e-184,"13","GPR34"
2.34744022334493e-204,3.4073697786724,0.829,0.519,7.45570489336584e-200,"13","APOE"
6.62165168108041e-250,3.36556821432598,0.509,0.116,2.10310279042795e-245,"13","VSIG4"
0,3.3632434562525,0.59,0.105,0,"13","FOLR2"
2.12047591635193e-100,3.31484840362367,0.312,0.09,6.73484355792536e-96,"13","IGSF6"
0,3.26350777357145,0.655,0.145,0,"13","FCGR3A"
3.20122843946862e-161,3.23724818311278,0.439,0.123,1.01674216465963e-156,"13","LY86"
1.38803132729105e-273,3.23274593440496,0.565,0.133,4.40852629860909e-269,"13","F13A1"
1.38942443760816e-92,3.12412457243129,0.486,0.229,4.41295095628727e-88,"13","RNASE1"
0,3.10575630908306,0.807,0.22,0,"13","CD14"
7.1638448332723e-260,3.08292021815121,0.587,0.152,2.27530875749562e-255,"13","CSF1R"
